CODE;CITY;COUNTRY;LAT;LON
N/A;NOTODDEN;NORWAY;59.566;9.21
N/A;STOCKHOLM;SWEDEN;59.419;17.89
TLL;TALLINN-ULEMISTE INTERNATIONAL;ESTONIA;59.413;24.83
N/A;ARBOGA;SWEDEN;59.386;15.92
N/A;RYGGE;NORWAY;59.379;10.79
BMA;STOCKHOLM;SWEDEN;59.354;17.94
N/A;ESKILSTUNA;SWEDEN;59.351;16.71
KSK;KARLSKOGA;SWEDEN;59.346;14.50
HAU;HAUGESUND;NORWAY;59.345;5.21
N/A;STRANGNAS;SWEDEN;59.314;17.11
N/A;ARMARI AIR FORCE BASE;ESTONIA;59.259;24.20
ORB;OREBRO;SWEDEN;59.224;15.04
TRF;TORP;NORWAY;59.187;10.26
SKE;SKIEN;NORWAY;59.185;9.57
N/A;STOCKHOLM;SWEDEN;59.181;17.91
N/A;KARDLA;ESTONIA;58.991;22.83
SVG;STAVANGER;NORWAY;58.877;5.64
N/A;BJORKVIK;SWEDEN;58.791;16.57
NYO;STOCKHOLM;SWEDEN;58.789;16.91
N/A;NORRKOEPING;SWEDEN;58.611;16.10
N/A;MOHOLM;SWEDEN;58.598;14.11
NRK;NORRKOEPING;SWEDEN;58.586;16.25
N/A;KARLSBORG;SWEDEN;58.514;14.51
N/A;RADA;SWEDEN;58.498;13.05
LDK;LIDKOPING;SWEDEN;58.465;13.17
KVB;SKOVDE;SWEDEN;58.456;13.97
N/A;SATENAS;SWEDEN;58.426;12.71
N/A;PARNU;ESTONIA;58.419;24.47
N/A;HASSLOSA;SWEDEN;58.409;13.26
N/A;LINKOEPING;SWEDEN;58.402;15.53
THN;TROLLHATTAN;SWEDEN;58.318;12.35
N/A;KURESSAARE;ESTONIA;58.230;22.51
KRS;KRISTIANSAND;NORWAY;58.204;8.09
N/A;FALKOPING;SWEDEN;58.170;13.59
FAN;LISTA;NORWAY;58.100;6.63
PEE;PERM;RUSSIA;57.917;56.03
GSE;GOTHENBORG;SWEDEN;57.775;32082.00
JKG;JOENKOEPING;SWEDEN;57.758;14.07
GOT;GOTHENBORG;SWEDEN;57.663;47088.00
VBY;VISBY;SWEDEN;57.663;18.35
HLF;HULTSFRED;SWEDEN;57.526;15.82
N/A;SINDAL;DENMARK;57.503;10.23
OSK;OSKARSHAMN;SWEDEN;57.350;16.50
N/A;HAGSHULT;SWEDEN;57.292;14.14
N/A;LAESO;DENMARK;57.278;11.00
N/A;ANDERSTORP;SWEDEN;57.264;13.60
AAL;AALBORG;DENMARK;57.093;9.85
TED;THISTED;DENMARK;57.069;8.71
N/A;LJUNGBY;SWEDEN;56.950;13.92
VXO;VAXJO;SWEDEN;56.929;14.73
N/A;VESTHIMMERLAND;DENMARK;56.847;9.46
N/A;KOSTA;SWEDEN;56.844;15.45
KLD;TVER;RUSSIA;56.825;35.76
N/A;BYHOLMA;SWEDEN;56.785;13.60
SVX;SVERDLOVSK;RUSSIA;56.741;60.80
HAD;HALMSTAD;SWEDEN;56.691;30286.00
KLR;KALKMAR;SWEDEN;56.685;16.29
N/A;EMMABODA;SWEDEN;56.611;15.61
N/A;SKIVE;DENMARK;56.550;9.17
N/A;LINDTORP;DENMARK;56.397;8.44
BTK;BRATSK;RUSSIA;56.371;101.70
AAR;AARHUS;DENMARK;56.304;10.62
KRP;KARUP;DENMARK;56.297;9.12
AGH;ANGELHOLM;SWEDEN;56.296;12.85
RNB;RONNEBY;SWEDEN;56.267;15.27
N/A;KNISLINGE;SWEDEN;56.184;14.13
STA;STAUNING;DENMARK;55.990;8.35
SVO;MOSCOW;RUSSIA;55.972;37.42
JLD;LANDSKRONA;SWEDEN;55.945;12.86
N/A;GRONHOLT;DENMARK;55.941;12.38
KID;KRISTIANSTAD;SWEDEN;55.922;14.09
N/A;VAERLOSE;DENMARK;55.767;12.34
BLL;BILLUND;DENMARK;55.740;9.15
