"NAN_ART_ID","WG_2_ID","WG_2_TXT","WG_3_ID","WG_3_TXT","WG_4_ID","WG_4_TXT"
100354687,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1146,FRISCHE TEIGWAREN/PIZZEN/BAGUE  ,11464,VEGANE ARTIKEL GEKÜHLT - SB     
107137268,120,"BUTTER,FETTE                    ",1201,BUTTER                          ,12012,BUTTERZUBEREITUNG               
107283444,137,SALZGEBÄCK/KNABBERKERNE         ,1373,KNABBERKERNE                    ,13733,POPCORN                         
107104436,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1143,FERTIGGERICHTE GEKUEHLT - SB -  ,11438,KARTOFFELSPEZIALITÄT GEKÜHLT-SB 
108260282,146,"ALKOHOLFR.GETRAENKE,WASSER,LIM  ",1463,COLA-PRODUKTE                   ,14634,"COLA-PRODUKTE,PACKUNG/PET EW    "
108270074,136,OBST- U. GEMUESEKONSERVEN       ,1369,SAUERKONSERVEN/GURKEN           ,13691,GURKEN (KONSERVEN)              
108611706,136,OBST- U. GEMUESEKONSERVEN       ,1363,GEMUESE GLAS                    ,13631,GEMUESE GLAS/PACKUNG            
100820730,116,OBST                            ,1163,KERNOBST                        ,11631,AEPFEL                          
102380666,111,KAESE - SB -                    ,1117,KAESESPEZIALITAETEN - SB -      ,11171,KÄSE FÜR WARME VERWENDUNG       
101134650,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1145,FISCH GEKUEHLT - SB -           ,11453,HERINGE/-FILETS/MATJES - SB -   
108382426,139,ZUCKERWAREN                     ,1392,KAUGUMMI                        ,13921,KAUGUMMI EINZELN                
108654202,147,"SAEFTE,NEKTARE U. FRUCHTSAFTGE  ",1471,"ORANGENSAEFTE,NEKTARE ETC.      ",14712,ORANGENSAEFTE FL.EW GLAS/PET    
108205946,132,"GEWUERZE,SALZ,ESSIG,OEL,SENF    ",1325,GEWUERZE TROCKEN                ,13251,GEWÜRZE MONO BEUTEL/NACHFÜLLER  
102725210,111,KAESE - SB -                    ,1111,NATURKAESE - SB -               ,11111,NATURKAESE SCHEIBEN - SB -      
103791866,139,ZUCKERWAREN                     ,1395,SONSTIGE SUESSWAREN(+GELEEFR.)  ,13954,SCHOKOKÜSSE/SCHAUMKÜSSE         
108418362,164,SAISONART/SAMMELGRUPP./CAFETER  ,1645,WEIHNACHTEN-SCHOKOLADE E-MWST.  ,16454,TELLERSORTIMENT/KÖRBE/MISCHUNG  
108094458,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1652,FOOD KATZE INKL. STREU          ,16524,BEUTEL KATZE                    
