CODE;CITY;COUNTRY;LAT;LON
LRL;NIATOUGOU;TOGO;9.77;1.09
N/A;SANGLEY POINT;PHILIPPINES;9.76;125.48
PPS;PUERTO PRINCESA;PHILIPPINES;9.74;118.76
MXJ;MINNA;NIGERIA;9.65;6.46
JOS;JOS;NIGERIA;23621.00;8.87
DIR;DIRE DAWA;ETHIOPIA;9.63;41.85
MAK;MALAKAL;SUDAN;9.56;31.65
N/A;SURAT THANI;THAILAND;9.55;100.06
HGA;HARGEISA;SOMALIA;9.52;44.09
YAP;YAP;MICRONESIA;9.50;138.08
N/A;KWAJALEIN;MARSHALL ISLANDS;9.40;167.47
PLF;PALA;CHAD;9.38;14.93
PKO;PARAKOU;BENIN;9.36;2.61
DGT;DUMAGUETE;PHILIPPINES;9.33;123.30
YOL;YOLA;NIGERIA;46266.00;16041.00
N/A;CARNICOBAR;INDIA;9.15;92.82
SRH;SARH;CHAD;9.15;18.38
ABV;ABUJA;NIGERIA;9.01;7.26
N/A;ADDIS ABABA;ETHIOPIA;9.00;38.73
KWA;KWAJALEIN;MARSHALL ISLANDS;26512.00;167.73
N/A;DEBRE ZEIT;ETHIOPIA;8.72;39.01
MQQ;MOUNDOU;CHAD;22859.00;16.07
TRR;TRINCIOMALEE;SRI LANKA;8.54;81.18
TRV;TRIVANDRUM;INDIA;8.48;76.92
NST;NAKHON SI THAMMARAT;THAILAND;8.47;99.96
ILR;ILORIN;NIGERIA;16285.00;4.49
NDL;N'DELE;CENTRAL AFRICAN REP.;8.43;20.64
CGY;LADAG;PHILIPPINES;8.41;124.61
N/A;ANURADHAPURA;SRI LANKA;8.30;80.43
GMB;GAMBELLA;ETHIOPIA;8.13;34.56
HKT;PHUKET;THAILAND;8.11;98.32
N/A;KRBI;THAILAND;8.10;98.99
WUU;WAU;SUDAN;7.73;27.98
N/A;BATTICALOA;SRI LANKA;7.71;81.68
MDI;MAKURDI;NIGERIA;7.70;8.61
JIM;JIMMA;ETHIOPIA;7.67;36.82
MNL;MANILA;PHILIPPINES;7.62;124.06
TST;TRANG;THAILAND;7.51;99.62
TKK;CHUUK;MICRONESIA;7.46;151.84
ROR;BABELTHUAP;PALAU ISLAND;7.37;134.54
NGE;N'GAOUNDERE;CAMEROON;7.36;13.56
GOY;GALOYA;SRI LANKA;7.34;81.63
AKR;AKURE;NIGERIA;7.25;5.30
N/A;SONGKHLA;THAILAND;7.19;100.61
CMB;COLOMBO;SRI LANKA;7.18;79.88
MAJ;MAJURO;MARSHALL ISLANDS;7.07;171.27
N/A;ELORZA;VENEZUELA;44719.00;-69.50
OTU;OTU;COLOMBIA;44568.00;-74.72
PNI;POHNPEI;MICRONESIA;6.99;158.21
HDY;SONGKHLA;THAILAND;6.93;100.39
ZAM;ZAMBOANGA;PHILIPPINES;6.92;122.06
RML;COLOMBO;SRI LANKA;6.82;79.89
PAN;PATTANI;THAILAND;6.79;101.15
LOS;LAGOS;NIGERIA;6.58;3.32
BIV;BRIA;CENTRAL AFRICAN REP.;6.53;21.99
N/A;YA LA;THAILAND;6.53;101.24
NAW;NARATHIWAT;THAILAND;19146.00;101.74
