CODE;CITY;COUNTRY;LAT;LON
N/A;SALERNO;ITALY;40.62;14.91
OSS;OSH;RUSSIA;40.61;72.79
N/A;KARS;TURKEY;40.56;43.12
N/A;HACHINOE;JAPAN;40.56;141.47
SKG;THESSALONIKI;GREECE;40.52;22.97
TAR;GROTTAGLIE;ITALY;40.52;17.40
BAK;BAKU;RUSSIA;40.47;50.05
KSO;KASTORIA;GREECE;40.45;21.28
BDM;BANDIRMA;TURKEY;40.32;27.98
N/A;TOKAT;TURKEY;40.31;36.37
KZI;KOZANI;GREECE;40.29;21.84
N/A;YENISEHIR;TURKEY;40.26;29.56
LCC;LECCE;ITALY;40.24;18.13
BTZ;BURSA;TURKEY;40.23;29.01
EVN;YEREVAN;RUSSIA;40.15;44.40
N/A;CANAKKALE;TURKEY;40.14;26.43
ESB;ANKARA;TURKEY;40.13;33.00
PEK;BEIJING;CHINA;40.08;116.58
N/A;ANKARA;TURKEY;40.08;32.57
ANK;ANKARA;TURKEY;39.95;32.69
N/A;ANKARA;TURKEY;39.94;32.74
TTB;TORTOLI;ITALY;39.92;9.68
LXS;LIMNOS;GREECE;39.92;25.24
MAH;MENORCA;SPAIN;39.86;4.22
N/A;SAN LUIS;SPAIN;39.86;4.26
N/A;ESKISSEHIR;TURKEY;39.81;30.52
ESK;ESKISEHIR;TURKEY;39.78;30.58
ERC;ERZINCAN;TURKEY;39.71;39.53
SKD;SAMARKAND;RUSSIA;39.70;66.99
IOA;IOANNINA;GREECE;39.70;20.82
LRA;LARISSA;GREECE;39.65;22.47
BZI;BALIKESIR;TURKEY;39.62;27.93
AXT;AKITA;JAPAN;39.62;140.22
N/A;PARSABAD;IRAN;39.60;47.88
CFU;KERKYRA/CORFU;GREECE;39.60;19.91
N/A;SON BONET;SPAIN;39.60;2.70
N/A;PALMA DE MALLORCA;SPAIN;39.55;2.74
PMI;PALMA DE MALLORCA;SPAIN;39.55;2.73
KHG;KASHI;CHINA;39.54;76.02
N/A;STEFANOVIKION;GREECE;39.48;22.77
HNA;HANAMAKI;JAPAN;39.43;141.14
N/A;KUTAHYA;TURKEY;39.43;30.02
DCI;DECIMOMANNU;ITALY;39.35;8.97
CAG;CAGLIARI;ITALY;39.25;9.05
VOL;NEA ANGHIALOS;GREECE;39.22;22.79
JSI;SKIATHOS;GREECE;39.18;23.50
TSN;TIANJIN;CHINA;39.12;117.35
N/A;CHARDZHOU;RUSSIA;39.08;63.61
MJT;MYTILINI;GREECE;39.06;26.60
FNJ;PYONGYANG;KOREA;39.03;125.78
CRV;CROTONE;ITALY;39.00;44790.00
SKU;SKIROS;GREECE;38.97;24.49
DLC;DALIAN;CHINA;38.97;121.54
PVK;PREVEZA;GREECE;38.93;20.77
SUF;LAMEZIA;ITALY;38.91;16.24
IBZ;IBIZA;SPAIN;38.87;1.37
N/A;SHONAI;JAPAN;38.81;139.79
N/A;AKHISAR;TURKEY;38.81;27.83
N/A;NEVSEHIR;TURKEY;38.77;34.53
ASR;KAYSERI;TURKEY;38.77;35.50
N/A;MUS;TURKEY;38.75;41.66
AFY;AFYON;TURKEY;38.73;30.60
N/A;USAK;TURKEY;38.68;29.47
