lat;lon;month;tavg
-49.307;-67.802;Februar;15.44
-49.307;-67.802;Maerz;13.21666667
-49.307;-67.802;April;10.09032258
-49.307;-67.802;Mai;6.529032258
-49.307;-67.802;Juni;3.661290323
-49.307;-67.802;Juli;3.358064516
-49.307;-67.802;August;4.977419355
-49.307;-67.802;September;7.436666667
-49.307;-67.802;Oktober;10.34193548
-49.307;-67.802;November;12.9
-49.307;-67.802;Dezember;14.75806452
-47.735;-65.904;Januar;16.40833333
-47.735;-65.904;Februar;15.508
-47.735;-65.904;Maerz;13.85769231
-47.735;-65.904;April;10.88846154
-47.735;-65.904;Mai;7.245833333
-47.735;-65.904;Juni;4.277777778
-47.735;-65.904;Juli;3.728
-47.735;-65.904;August;5.303846154
-47.735;-65.904;September;7.576
-47.735;-65.904;Oktober;10.45555556
-47.735;-65.904;November;13.26086957
-47.735;-65.904;Dezember;14.98695652
-46.582;-71.698;Februar;18.3
-46.582;-71.698;Maerz;13.9
-46.582;-71.698;April;10.8
-46.582;-71.698;Mai;6.3
-46.582;-71.698;Juni;2.9
-46.582;-71.698;Juli;4.6
-46.582;-71.698;August;4.8
-46.582;-71.698;Oktober;9.1
-46.582;-71.698;November;12.5
-46.582;-71.698;Dezember;17.4
-46.41;168.31;Januar;14.15172414
-46.41;168.31;Februar;14.01333333
-46.41;168.31;Maerz;12.6862069
-46.41;168.31;April;10.52413793
-46.41;168.31;Mai;8.307142857
-46.41;168.31;Juni;6.186206897
-46.41;168.31;Juli;5.607142857
-46.41;168.31;August;6.718518519
-46.41;168.31;September;8.485714286
-46.41;168.31;Oktober;10.01071429
-46.41;168.31;November;11.43214286
-46.41;168.31;Dezember;13.26785714
-45.93;170.2;Januar;14.7
-45.93;170.2;Februar;14.46666667
-45.93;170.2;Maerz;13.46666667
-45.93;170.2;April;10.3
-45.93;170.2;Mai;8.266666667
-45.93;170.2;Juni;5.9
-45.93;170.2;Juli;5.666666667
-45.93;170.2;August;6.725
-45.93;170.2;Oktober;9.975
-45.93;170.2;November;12.4
-45.93;170.2;Dezember;13.55
-45.916;-71.689;Januar;12.35172414
-45.916;-71.689;Februar;12.30689655
-45.916;-71.689;Maerz;9.939285714
-45.916;-71.689;April;6.736666667
-45.916;-71.689;Mai;3.651612903
-45.916;-71.689;Juni;0.909677419
-45.916;-71.689;Juli;0.4
-45.916;-71.689;August;2.190322581
-45.916;-71.689;September;4.570967742
-45.916;-71.689;Oktober;6.929032258
-45.916;-71.689;November;9.14516129
-45.916;-71.689;Dezember;11.25172414
-45.785;-67.466;Januar;19.72258065
-45.785;-67.466;Februar;18.79354839
-45.785;-67.466;Maerz;16.61612903
-45.785;-67.466;April;13.40967742
-45.785;-67.466;Mai;10.02580645
-45.785;-67.466;Juni;7.338709677
-45.785;-67.466;Juli;6.861290323
-45.785;-67.466;August;8.296774194
-45.785;-67.466;September;10.27741935
-45.785;-67.466;Oktober;13.12580645
-45.785;-67.466;November;15.96451613
-45.785;-67.466;Dezember;18.3
-45.594;-72.106;Januar;13.87777778
-45.594;-72.106;Februar;13.83703704
-45.594;-72.106;Maerz;11.28518519
-45.594;-72.106;April;8.318518519
-45.594;-72.106;Mai;5.174074074
-45.594;-72.106;Juni;2.462962963
-45.594;-72.106;Juli;1.981481481
-45.594;-72.106;August;3.796296296
-45.594;-72.106;September;6.085714286
-45.594;-72.106;Oktober;8.451851852
-45.594;-72.106;November;10.58214286
-45.594;-72.106;Dezember;12.79655172
-45.02;168.74;Januar;16.13333333
-45.02;168.74;Februar;15.96666667
-45.02;168.74;Maerz;13.93333333
-45.02;168.74;April;9.766666667
-45.02;168.74;Mai;7.533333333
-45.02;168.74;Juni;4.8
-45.02;168.74;Juli;4.166666667
-45.02;168.74;August;5.65
-45.02;168.74;Oktober;10.025
-45.02;168.74;November;12.65
-45.02;168.74;Dezember;14.15
-44.3;171.23;Februar;15.1
-44.3;171.23;Maerz;14.1
-44.3;171.23;April;11.7
-44.3;171.23;Mai;7.5
-44.3;171.23;Juni;7
-44.3;171.23;Juli;4.7
-44.3;171.23;August;7.1
-44.3;171.23;Oktober;10.8
-44.3;171.23;November;13
-44.3;171.23;Dezember;14.9
-43.81;-176.457;Januar;14.81904762
-43.81;-176.457;Februar;15.15
-43.81;-176.457;Maerz;14.27272727
-43.81;-176.457;April;12.46666667
-43.81;-176.457;Mai;10.8047619
-43.81;-176.457;Juni;9.09047619
-43.81;-176.457;Juli;8.3
-43.81;-176.457;August;8.740909091
-43.81;-176.457;September;9.481818182
-43.81;-176.457;Oktober;10.48571429
-43.81;-176.457;November;11.49090909
-43.81;-176.457;Dezember;13.41428571
-43.615;-71.807;August;4.5
-43.615;-71.807;Oktober;10.1
-43.615;-71.807;November;12.7
-43.615;-71.807;Dezember;16.8
-43.55;172.55;Januar;16.95483871
-43.55;172.55;Februar;16.7516129
-43.55;172.55;Maerz;14.80645161
-43.55;172.55;April;11.88333333
-43.55;172.55;Mai;9.316666667
-43.55;172.55;Juni;6.519354839
-43.55;172.55;Juli;6.019354839
-43.55;172.55;August;7.251612903
-43.55;172.55;September;9.280645161
-43.55;172.55;Oktober;11.32258065
-43.55;172.55;November;13.24193548
-43.55;172.55;Dezember;15.60967742
-43.49;172.53;Januar;16.72903226
-43.49;172.53;Februar;16.4516129
-43.49;172.53;Maerz;14.69032258
-43.49;172.53;April;11.82333333
-43.49;172.53;Mai;9.33
-43.49;172.53;Juni;6.512903226
-43.49;172.53;Juli;5.974193548
-43.49;172.53;August;7.306451613
-43.49;172.53;September;9.316129032
-43.49;172.53;Oktober;11.20645161
-43.49;172.53;November;13.08387097
-43.49;172.53;Dezember;15.46451613
-43.21;-65.27;Januar;21.43333333
-43.21;-65.27;Februar;20.17419355
-43.21;-65.27;Maerz;17.94193548
-43.21;-65.27;April;13.72903226
-43.21;-65.27;Mai;9.551612903
-43.21;-65.27;Juni;6.47
-43.21;-65.27;Juli;6.109677419
-43.21;-65.27;August;8.161290323
-43.21;-65.27;September;10.56333333
-43.21;-65.27;Oktober;14.05483871
-43.21;-65.27;November;17.28064516
-43.21;-65.27;Dezember;19.91290323
-42.933;-72.699;Februar;13.4
-42.933;-72.699;Maerz;12.8
-42.933;-72.699;April;12.4
-42.933;-72.699;Mai;9.6
-42.933;-72.699;Juni;6.9
-42.933;-72.699;Juli;7.4
-42.933;-72.699;August;7.4
-42.933;-72.699;Oktober;9.8
-42.933;-72.699;November;11.1
-42.933;-72.699;Dezember;13.7
-42.908;-71.139;Januar;15.51935484
-42.908;-71.139;Februar;15.25806452
-42.908;-71.139;Maerz;12.39666667
-42.908;-71.139;April;8.687096774
-42.908;-71.139;Mai;5.351612903
-42.908;-71.139;Juni;2.683333333
-42.908;-71.139;Juli;2.068965517
-42.908;-71.139;August;3.532258065
-42.908;-71.139;September;5.812903226
-42.908;-71.139;Oktober;8.490322581
-42.908;-71.139;November;11.24516129
-42.908;-71.139;Dezember;13.79333333
-42.84;147.51;Februar;15.8
-42.84;147.51;Maerz;14.2
-42.84;147.51;April;11.4
-42.84;147.51;Mai;8.7
-42.84;147.51;Juni;8.5
-42.84;147.51;Juli;6.8
-42.84;147.51;August;7.6
-42.84;147.51;September;8.7
-42.84;147.51;November;12.5
-42.84;147.51;Dezember;15.2
-42.759;-65.102;Januar;21.05
-42.759;-65.102;Februar;19.71538462
-42.759;-65.102;Maerz;17.33846154
-42.759;-65.102;April;13.73333333
-42.759;-65.102;Mai;9.764285714
-42.759;-65.102;Juni;6.485714286
-42.759;-65.102;Juli;6.030769231
-42.759;-65.102;August;8.169230769
-42.759;-65.102;September;10.70833333
-42.759;-65.102;Oktober;14.03846154
-42.759;-65.102;November;15.96666667
-42.759;-65.102;Dezember;19.70769231
-42.71;170.99;Januar;15.53333333
-42.71;170.99;Februar;15.92222222
-42.71;170.99;Maerz;14.47037037
-42.71;170.99;April;12.41111111
-42.71;170.99;Mai;10.45555556
-42.71;170.99;Juni;8.262962963
-42.71;170.99;Juli;7.474074074
-42.71;170.99;August;8.332142857
-42.71;170.99;September;9.748148148
-42.71;170.99;Oktober;11.10357143
-42.71;170.99;November;12.525
-42.71;170.99;Dezember;14.48888889
-42.031;-71.17;Januar;18.54545455
-42.031;-71.17;Februar;17.84615385
-42.031;-71.17;Maerz;14.03571429
-42.031;-71.17;April;10.32857143
-42.031;-71.17;Mai;7.12
-42.031;-71.17;Juni;4.55
-42.031;-71.17;Juli;4.035714286
-42.031;-71.17;August;5.913333333
-42.031;-71.17;September;8.057142857
-42.031;-71.17;Oktober;11.47857143
-42.031;-71.17;November;13.94615385
-42.031;-71.17;Dezember;16.77272727
-41.943;-71.532;Januar;18.54545455
-41.943;-71.532;Februar;17.84615385
-41.943;-71.532;Maerz;14.03571429
-41.943;-71.532;April;10.32857143
-41.943;-71.532;Mai;7.12
-41.943;-71.532;Juni;4.55
-41.943;-71.532;Juli;4.035714286
-41.943;-71.532;August;5.913333333
-41.943;-71.532;September;8.057142857
-41.943;-71.532;Oktober;11.47857143
-41.943;-71.532;November;13.94615385
-41.943;-71.532;Dezember;16.77272727
-41.74;171.58;Januar;16.2
-41.74;171.58;Februar;16.7
-41.74;171.58;Maerz;15.8
-41.74;171.58;April;13.4
-41.74;171.58;Mai;11.7
-41.74;171.58;Juni;11.1
-41.74;171.58;Juli;9.3
-41.74;171.58;August;10.2
-41.74;171.58;Oktober;12.7
-41.74;171.58;November;14.9
-41.74;171.58;Dezember;16.7
-41.55;147.21;Januar;17.0516129
-41.55;147.21;Februar;16.8483871
-41.55;147.21;Maerz;14.96774194
-41.55;147.21;April;11.78709677
-41.55;147.21;Mai;9.203225806
-41.55;147.21;Juni;7.270967742
-41.55;147.21;Juli;6.816129032
-41.55;147.21;August;7.532258065
-41.55;147.21;September;9.061290323
-41.55;147.21;Oktober;10.99
-41.55;147.21;November;13.1516129
-41.55;147.21;Dezember;15.21612903
-41.439;-73.094;Januar;14.32258065
-41.439;-73.094;Februar;13.93225806
-41.439;-73.094;Maerz;12.34193548
-41.439;-73.094;April;10.04516129
-41.439;-73.094;Mai;8.606451613
-41.439;-73.094;Juni;6.848387097
-41.439;-73.094;Juli;6.206451613
-41.439;-73.094;August;6.793548387
-41.439;-73.094;September;7.780645161
-41.439;-73.094;Oktober;9.490322581
-41.439;-73.094;November;11.43225806
-41.439;-73.094;Dezember;13.26333333
-41.33;174.81;Januar;17.46
-41.33;174.81;Februar;17.84
-41.33;174.81;Maerz;16.516
-41.33;174.81;April;14.592
-41.33;174.81;Mai;12.89583333
-41.33;174.81;Juni;10.93076923
-41.33;174.81;Juli;10.01153846
-41.33;174.81;August;10.448
-41.33;174.81;September;11.66
-41.33;174.81;Oktober;12.96538462
-41.33;174.81;November;14.31481481
-41.33;174.81;Dezember;16.43846154
-41.3;173.22;Januar;18
-41.3;173.22;Februar;17.6
-41.3;173.22;Maerz;16.6
-41.3;173.22;April;14.3
-41.3;173.22;Mai;11.3
-41.3;173.22;Juni;10.3
-41.3;173.22;Juli;8.5
-41.3;173.22;August;9.8
-41.3;173.22;Oktober;13.4
-41.3;173.22;November;15.9
-41.3;173.22;Dezember;18.5
-41.151;-71.157;Januar;15.27666667
-41.151;-71.157;Februar;15
-41.151;-71.157;Maerz;12.23548387
-41.151;-71.157;April;8.193333333
-41.151;-71.157;Mai;5.226666667
-41.151;-71.157;Juni;3.006451613
-41.151;-71.157;Juli;2.236666667
-41.151;-71.157;August;3.2
-41.151;-71.157;September;5.290322581
-41.151;-71.157;Oktober;7.977419355
-41.151;-71.157;November;10.88709677
-41.151;-71.157;Dezember;13.54193548
-40.91;174.99;Januar;17.26774194
-40.91;174.99;Februar;17.47419355
-40.91;174.99;Maerz;15.95333333
-40.91;174.99;April;13.82666667
-40.91;174.99;Mai;12.02333333
-40.91;174.99;Juni;9.983870968
-40.91;174.99;Juli;9.003225806
-40.91;174.99;August;9.706451613
-40.91;174.99;September;11.13666667
-40.91;174.99;Oktober;12.56774194
-40.91;174.99;November;13.95483871
-40.91;174.99;Dezember;16.04516129
-40.869;-63;Januar;22.07
-40.869;-63;Februar;21.06129032
-40.869;-63;Maerz;18.63103448
-40.869;-63;April;14.23
-40.869;-63;Mai;10.44193548
-40.869;-63;Juni;7.632258065
-40.869;-63;Juli;6.97
-40.869;-63;August;8.629032258
-40.869;-63;September;10.71
-40.869;-63;Oktober;14.41
-40.869;-63;November;17.77419355
-40.869;-63;Dezember;20.61612903
-40.611;-73.06;Januar;15.65652174
-40.611;-73.06;Februar;15.41818182
-40.611;-73.06;Maerz;13.5047619
-40.611;-73.06;April;10.576
-40.611;-73.06;Mai;8.896
-40.611;-73.06;Juni;7.196
-40.611;-73.06;Juli;6.584615385
-40.611;-73.06;August;7.288
-40.611;-73.06;September;8.64
-40.611;-73.06;Oktober;10.5
-40.611;-73.06;November;12.568
-40.611;-73.06;Dezember;14.5
-40.32;175.62;Januar;17.4
-40.32;175.62;Februar;17.2
-40.32;175.62;Maerz;16.1
-40.32;175.62;April;14.2
-40.32;175.62;Mai;11.5
-40.32;175.62;Juni;10.9
-40.32;175.62;Juli;8.9
-40.32;175.62;August;9.3
-40.32;175.62;Oktober;13.2
-40.32;175.62;November;15.6
-40.32;175.62;Dezember;17.9
-40.21;175.39;Januar;17.4
-40.21;175.39;Februar;16.8
-40.21;175.39;Maerz;15.6
-40.21;175.39;April;14.1
-40.21;175.39;Mai;11.7
-40.21;175.39;Juni;11
-40.21;175.39;Juli;8.9
-40.21;175.39;August;9.3
-40.21;175.39;Oktober;12.9
-40.21;175.39;November;15.2
-40.21;175.39;Dezember;17.8
-40.075;-71.137;Februar;18.5
-40.075;-71.137;Maerz;16.2
-40.075;-71.137;April;12.3
-40.075;-71.137;Mai;6.9
-40.075;-71.137;Juni;3.8
-40.075;-71.137;Juli;4.4
-40.075;-71.137;August;3.8
-40.075;-71.137;September;6.7
-40.075;-71.137;Oktober;9.5
-40.075;-71.137;November;13.4
-40.075;-71.137;Dezember;18
-39.65;-73.086;Januar;16.32857143
-39.65;176.77;Januar;19.5
-39.65;-73.086;Februar;16.17692308
-39.65;176.77;Februar;18.1
-39.65;-73.086;Maerz;13.89259259
-39.65;176.77;Maerz;17.3
-39.65;-73.086;April;11.21071429
-39.65;176.77;April;15.3
-39.65;-73.086;Mai;9.317857143
-39.65;176.77;Mai;12.6
-39.65;-73.086;Juni;7.621428571
-39.65;176.77;Juni;11.4
-39.65;-73.086;Juli;6.982142857
-39.65;176.77;Juli;9.5
-39.65;-73.086;August;7.725
-39.65;176.77;August;9.9
-39.65;-73.086;September;8.920689655
-39.65;-73.086;Oktober;10.71785714
-39.65;176.77;Oktober;14.2
-39.65;-73.086;November;12.86296296
-39.65;176.77;November;17
-39.65;-73.086;Dezember;15.07931034
-39.65;176.77;Dezember;19.8
-39.45;175.66;Januar;13.7
-39.45;175.66;Februar;14.1
-39.45;175.66;Maerz;11.9
-39.45;175.66;April;9.6
-39.45;175.66;Mai;7.2
-39.45;175.66;Juni;6.8
-39.45;175.66;Juli;4.4
-39.45;175.66;August;4.4
-39.45;175.66;Oktober;9.1
-39.45;175.66;November;12.1
-39.45;175.66;Dezember;14.6
-39.01;174.18;Januar;17.6516129
-39.01;174.18;Februar;18.18064516
-39.01;174.18;Maerz;16.79677419
-39.01;174.18;April;14.7
-39.01;174.18;Mai;12.86551724
-39.01;174.18;Juni;10.78387097
-39.01;174.18;Juli;9.896774194
-39.01;174.18;August;10.35483871
-39.01;174.18;September;11.54666667
-39.01;174.18;Oktober;12.80322581
-39.01;174.18;November;14.17741935
-39.01;174.18;Dezember;16.31935484
-38.949;-68.156;Januar;24.02333333
-38.949;-68.156;Februar;22.33870968
-38.949;-68.156;Maerz;19.20322581
-38.949;-68.156;April;13.87741935
-38.949;-68.156;Mai;9.632258065
-38.949;-68.156;Juni;6.912903226
-38.949;-68.156;Juli;6.26
-38.949;-68.156;August;8.564516129
-38.949;-68.156;September;11.86129032
-38.949;-68.156;Oktober;15.60322581
-38.949;-68.156;November;19.48387097
-38.949;-68.156;Dezember;22.53225806
-38.769;-72.636;Januar;16.02222222
-38.769;-72.636;Februar;15.86296296
-38.769;-72.636;Maerz;14
-38.769;-72.636;April;11.1
-38.769;-72.636;Mai;9.181481481
-38.769;-72.636;Juni;7.7
-38.769;-72.636;Juli;6.807407407
-38.769;-72.636;August;7.611538462
-38.769;-72.636;September;8.942307692
-38.769;-72.636;Oktober;10.68461538
-38.769;-72.636;November;12.71538462
-38.769;-72.636;Dezember;14.73076923
-38.74;176.08;Januar;17.83333333
-38.74;176.08;Februar;17.7
-38.74;176.08;Maerz;15.36666667
-38.74;176.08;April;12.23333333
-38.74;176.08;Mai;9.666666667
-38.74;176.08;Juni;8.6
-38.74;176.08;Juli;7.6
-38.74;176.08;August;7.875
-38.74;176.08;Oktober;11.55
-38.74;176.08;November;14.45
-38.74;176.08;Dezember;16.475
-38.725;-62.169;Januar;23.5483871
-38.725;-62.169;Februar;22.07419355
-38.725;-62.169;Maerz;19.63870968
-38.725;-62.169;April;15.27419355
-38.725;-62.169;Mai;11.45483871
-38.725;-62.169;Juni;8.493548387
-38.725;-62.169;Juli;7.712903226
-38.725;-62.169;August;9.751612903
-38.725;-62.169;September;11.89032258
-38.725;-62.169;Oktober;15.09677419
-38.725;-62.169;November;18.64193548
-38.725;-62.169;Dezember;22.00967742
-38.66;177.98;Januar;19.4
-38.66;177.98;Februar;19.23225806
